imagen,codigo,articulo,descripcion,precio
10,ANT0010,"Soporte de teléfono celular de metal, que gira en 360 grados.",Gato blanco,$9.99
11,ANT0011,"Soporte de teléfono celular de metal, que gira en 360 grados.",Oro rosa + ojos de gato blancos.,$9.99
12,ANT0012,"Soporte de teléfono celular, conejo, plástico. Disponible en color: menta, lila, rosado, blanco.",Verde,$9.99
13,ANT0013,Soporte de teléfono celular de metal.,Rosa dorada,$9.99
14,ANT0014,"Soporte de teléfono celular de metal, que gira en 360 grados.",Blanco,$9.99
